,high
1800,0.000242254973272793
1801,0.0002639773883856833
1802,0.0002485804434400052
1803,0.00021176938025746495
1804,0.0002383408573223278
1805,0.00025400237063877285
1806,0.00025767291663214564
1807,0.0002569528005551547
1808,0.000246562238316983
1809,0.00024268469132948667
1810,0.00026867142878472805
1811,0.00024261872749775648
1812,0.0002500436967238784
1813,0.0002565158938523382
1814,0.0002630448725540191
1815,0.0002736694586928934
1816,0.0002481440897099674
1817,0.00025433694827370346
1818,0.0002695479488465935
1819,0.0002628485672175884
1820,0.0002609846123959869
1821,0.0002627426292747259
1822,0.00026859130593948066
1823,0.00024311179004143924
1824,0.0002644089690875262
1825,0.00025030437973327935
1826,0.0002615318517200649
1827,0.00025409989757463336
1828,0.0002560740103945136
1829,0.0002524968876969069
1830,0.00025665914290584624
1831,0.00024370939354412258
1832,0.00021321138774510473
1833,0.00026295066345483065
1834,0.0002546896575950086
1835,0.00025757422554306686
1836,0.00025414620176889
1837,0.00025014084530994296
1838,0.00026080466341227293
1839,0.0002627004578243941
1840,0.0002539940469432622
1841,0.0002643303305376321
1842,0.0002646170323714614
1843,0.0002558212436269969
1844,0.00025847755023278296
1845,0.000256990606430918
1846,0.00025099352933466434
1847,0.000252299418207258
1848,0.0002522034046705812
1849,0.00025056247250176966
1850,0.00025715286028571427
1851,0.0002485356817487627
1852,0.00025199816445820034
1853,0.00024381699040532112
1854,0.00024774533812887967
1855,0.0002467153826728463
1856,0.00025213492335751653
1857,0.0002487271558493376
1858,0.0002406194544164464
1859,0.00024375061911996454
1860,0.00023675970442127436
1861,0.0002311904390808195
1862,0.00023486603458877653
1863,0.00023348661488853395
1864,0.00022793894459027797
1865,0.00023390362912323326
1866,0.0002315674355486408
1867,0.0002330635325051844
1868,0.00023789319675415754
1869,0.00023520117974840105
1870,0.00023178958508651704
1871,0.0002333081210963428
1872,0.0002249333047075197
1873,0.00023550032346975058
1874,0.00023638855782337487
1875,0.0002481214178260416
1876,0.0002465426514390856
1877,0.00023292402329389006
1878,0.0002409828157396987
1879,0.00023503268312197179
1880,0.00024621360353194177
1881,0.00023682932078372687
1882,0.00023913165205158293
1883,0.00024429982295259833
1884,0.0002383199316682294
1885,0.00024043097801040858
1886,0.00023139840050134808
1887,0.00022656755754724145
1888,0.0002408531290711835
1889,0.00024274412135127932
1890,0.00024595187278464437
1891,0.0002453355409670621
1892,0.00024508783826604486
1893,0.00024649343686178327
1894,0.00025300774723291397
1895,0.00024390144972130656
1896,0.00024671980645507574
1897,0.000251039833528921
1898,0.0002552236837800592
1899,0.0002507597382646054
1900,0.0002612090320326388
1901,0.00025864492636173964
1902,0.0002699658216442913
1903,0.00027240836061537266
1904,0.00027509898063726723
1905,0.00028244382701814175
1906,0.0002791647566482425
1907,0.00028537181788124144
1908,0.00028793836827389896
1909,0.00029780136537738144
1910,0.00029878862551413476
