,may
1952,0.0013419485185295343
1953,0.0013623774284496903
1954,0.001381312613375485
1955,0.0013488366967067122
1956,0.0012964974157512188
1957,0.001360396039672196
1958,0.0013108882121741772
1959,0.0013416646979749203
1960,0.0012971175601705909
1961,0.0013163797557353973
1962,0.0012776459334418178
1963,0.0013066640822216868
1964,0.001269535394385457
1965,0.0012723528780043125
1966,0.0012577377492561936
1967,0.0012663030065596104
1968,0.0012535253772512078
1969,0.0012487072963267565
1970,0.0012325035640969872
1971,0.0012520699528977275
1972,0.001244540442712605
1973,0.0012242909288033843
1974,0.0012191234854981303
1975,0.00124880310613662
1976,0.00121682055760175
1977,0.001206283224746585
1978,0.0012035233667120337
1979,0.0012310609454289079
1980,0.001195521093904972
1981,0.0011880778474733233
1982,0.001194619107991457
1983,0.0011951237684115767
1984,0.0011413537431508303
1985,0.0011621015146374702
1986,0.0011361704673618078
1987,0.0011592954397201538
1988,0.001146793831139803
1989,0.0011182267917320132
1990,0.0011378653580322862
1991,0.001123786554671824
1992,0.0011321980273351073
1993,0.0011222403263673186
1994,0.0011097271926701069
1995,0.001145359710790217
1996,0.0011300002224743366
1997,0.0011441290844231844
1998,0.0011415636399760842
1999,0.001138214603997767
2000,0.0011022330727428198
2001,0.0011071879416704178
2002,0.0010959095088765025
2003,0.0010967905400320888
2004,0.0010878219036385417
2005,0.001091212616302073
2006,0.0010813447879627347
2007,0.0010573049075901508
2008,0.0010789927328005433
2009,0.0010427742963656783
2010,0.0010109044378623366
2011,0.0009718795190565288
2012,0.001014783512800932
2013,0.0010250586783513427
2014,0.0008874254417605698
2015,0.0008887798176147044
2016,0.0009003487648442388
2017,0.0008291524136438966
2018,0.0008344512316398323
2019,0.0008083097054623067
