,make
1800,0.0006038417341187596
1801,0.0006196400499902666
1802,0.0005409978330135345
1803,0.0005922505515627563
1804,0.0005772225558757782
1805,0.0005833144532516599
1806,0.0005875546485185623
1807,0.0005733270663768053
1808,0.0006679494981653988
1809,0.0006134959403425455
1810,0.0006180820055305958
1811,0.0006486258935183287
1812,0.0006300301174633205
1813,0.0005750322015956044
1814,0.0005761045031249523
1815,0.0005735278828069568
1816,0.0006033292738720775
1817,0.0005555126699618995
1818,0.000546218128874898
1819,0.0005371907609514892
1820,0.0005698914173990488
1821,0.0005662507610395551
1822,0.000568112765904516
1823,0.0005889690946787596
1824,0.0005664140335284173
1825,0.0005677866865880787
1826,0.0005534919910132885
1827,0.0005358983762562275
1828,0.0005406821146607399
1829,0.0005264874780550599
1830,0.0005613825051113963
1831,0.0005332975415512919
1832,0.0005306030507199466
1833,0.0005448305164463818
1834,0.0005305512459017336
1835,0.0005261818296276033
1836,0.0005435250932350755
1837,0.0005382345407269895
1838,0.0005360462237149477
1839,0.0005355842877179384
1840,0.0005342875956557691
1841,0.0005278838216327131
1842,0.000511766760610044
1843,0.0005309578264132142
1844,0.0005393806495703757
1845,0.0005183336324989796
1846,0.000521895766723901
1847,0.0005280995392240584
1848,0.000522141985129565
1849,0.0005244009080342948
1850,0.0005349211860448122
1851,0.0005247908993624151
1852,0.0005317619652487338
1853,0.0005424128612503409
1854,0.0005229818052612245
1855,0.0005162239540368319
1856,0.0005257302545942366
1857,0.0005244044004939497
1858,0.0005091477651149035
1859,0.0005085584125481546
1860,0.0005240340251475573
1861,0.0005211036768741906
1862,0.0005270693800412118
1863,0.0005150637589395046
1864,0.0005306738312356174
1865,0.0005295014707371593
1866,0.0005359898786991835
1867,0.000527558964677155
1868,0.0005355398752726614
1869,0.0005311332060955465
1870,0.0005369737627916038
1871,0.0005347335245460272
1872,0.000544452341273427
1873,0.0005291353445500135
1874,0.0005374666070565581
1875,0.0005308595718815923
1876,0.0005290706758387387
1877,0.0005163107998669147
1878,0.0005216175923123956
1879,0.0005229517119005322
1880,0.0005176848499104381
1881,0.0005190083757042885
1882,0.0005340101779438555
1883,0.0005230484530329704
1884,0.0005238886806182563
1885,0.0005219786544330418
1886,0.0005293142166920006
1887,0.0005329118575900793
1888,0.000536707928404212
1889,0.0005347348633222282
1890,0.0005256301956251264
1891,0.000522176327649504
1892,0.0005303180078044534
1893,0.0005272429552860558
1894,0.0005387578275986016
1895,0.0005190775264054537
1896,0.0005266516236588359
1897,0.0005218052538111806
1898,0.0005180192529223859
1899,0.0005375579348765314
1900,0.0005300327320583165
1901,0.0005316042806953192
1902,0.0005225413478910923
1903,0.000524225237313658
1904,0.0005267021479085088
1905,0.0005253522540442646
1906,0.0005294008296914399
1907,0.0005267710657790303
1908,0.0005312463617883623
1909,0.0005448288866318762
1910,0.0005236921715550125
1911,0.0005265322397463024
1912,0.0005382534000091255
1913,0.0005425210110843182
1914,0.0005440260283648968
1915,0.0005424361443147063
1916,0.000554420577827841
1917,0.0005520010599866509
1918,0.0005556466057896614
1919,0.0005632459069602191
1920,0.0005545337335206568
1921,0.000547340780030936
1922,0.000537726329639554
1923,0.0005268024397082627
1924,0.0005381323862820864
1925,0.0005120268324390054
1926,0.0005139987915754318
1927,0.0005074295913800597
1928,0.0005040160031057894
1929,0.0005134382518008351
1930,0.0005076569505035877
1931,0.0004937517805956304
1932,0.0004994496121071279
1933,0.0004912980948574841
1934,0.0005036750226281583
1935,0.00050299585564062
1936,0.000500573543831706
1937,0.0004963421961292624
1938,0.0004961458034813404
1939,0.0005109149497002363
1940,0.0004936085897497833
1941,0.0005022831610403955
1942,0.0005151751101948321
1943,0.0005238435696810484
1944,0.0005233778501860797
1945,0.0005321717471815646
1946,0.0005218973383307457
1947,0.000522494432516396
1948,0.0005105718155391514
1949,0.0004911498399451375
1950,0.0004891401040367782
1951,0.0004987818538211286
1952,0.0004958253703080118
1953,0.0004884203663095832
1954,0.0004804576456081122
1955,0.0004921052022837102
1956,0.0004836496664211154
1957,0.00047903339145705104
1958,0.00047197783715091646
1959,0.00046574437874369323
1960,0.0004533469909802079
1961,0.00045662623597308993
1962,0.0004467318067327142
1963,0.00044882274232804775
1964,0.0004394645511638373
1965,0.00044775792048312724
1966,0.0004552309983409941
1967,0.0004562745161820203
1968,0.00045369102736003697
1969,0.00045385563862510026
1970,0.00044851776328869164
1971,0.00043929132516495883
1972,0.0004286490147933364
1973,0.00042447721352800727
1974,0.0004304508038330823
1975,0.00042074592784047127
1976,0.00041272968519479036
1977,0.0004104982945136726
1978,0.0004036464379169047
1979,0.00040722786798141897
1980,0.0004009034892078489
1981,0.0003902559692505747
1982,0.00039473798824474216
1983,0.00039477390237152576
1984,0.0003964595089200884
1985,0.00039222114719450474
1986,0.0003976514854002744
1987,0.0003964467323385179
1988,0.00040430633816868067
1989,0.0003962635528296232
1990,0.00040031352546066046
1991,0.0004028957337141037
1992,0.0004079559294041246
1993,0.0004010585544165224
1994,0.0004118132055737078
1995,0.00041311109089292586
1996,0.000418808835092932
1997,0.00043266345164738595
1998,0.0004370701499283314
1999,0.0004455202433746308
2000,0.00045709562255069613
2001,0.00046129903057590127
2002,0.0004695681855082512
2003,0.000478289439342916
2004,0.0004856522136833519
2005,0.0004893649602308869
2006,0.0004945252439938486
2007,0.0005038797971792519
2008,0.000525281298905611
2009,0.000554967497009784
2010,0.0005699984030798078
2011,0.0005777999758720398
2012,0.0005362998927012086
2013,0.00054281105985865
2014,0.0005873081972822547
2015,0.0005822900566272438
2016,0.0005582283483818173
2017,0.0005792264710180461
2018,0.0005633209948427975
2019,0.0005638307193294168
