,conditions
1904,0.0002253569837193936
1905,0.00024350953754037619
1906,0.00024106290948111564
1907,0.0002540067071095109
1908,0.0002640262828208506
1909,0.00027367653092369437
1910,0.000277134298812598
1911,0.0002880559768527746
1912,0.00030111760133877397
1913,0.0003140076878480613
1914,0.00032017051125876606
1915,0.00032439030474051833
1916,0.00034508705721236765
1917,0.00033569702645763755
1918,0.00036145630292594433
1919,0.00036985904444009066
1920,0.0003610507701523602
1921,0.0003584515943657607
1922,0.00034382581361569464
1923,0.00032263449975289404
1924,0.00032224092865362763
1925,0.000314315635478124
1926,0.00031270895851776004
1927,0.0003071452665608376
1928,0.0003114744904451072
1929,0.000306926405755803
1930,0.00031746187596581876
1931,0.0003154542064294219
1932,0.0003244811960030347
1933,0.00032523414120078087
1934,0.00032061286037787795
1935,0.0003034262335859239
1936,0.00030852280906401575
1937,0.00030457775574177504
1938,0.0003134277940262109
1939,0.00030554458498954773
1940,0.0003035027766600251
1941,0.0002941717975772917
1942,0.00030278455233201385
1943,0.0003006244369316846
1944,0.0003120803739875555
1945,0.0003058828879147768
1946,0.0003015093388967216
1947,0.0002947997418232262
1948,0.00029924369300715625
1949,0.00029291980899870396
1950,0.0002869533491320908
1951,0.0002761369978543371
1952,0.0002741492062341422
1953,0.00027817950467579067
1954,0.00027865677839145064
1955,0.00027436361415311694
1956,0.0002750628918875009
1957,0.0002756970061454922
1958,0.0002812438178807497
1959,0.00028246158035472035
1960,0.0002857011277228594
1961,0.0002803016686812043
1962,0.00028216358623467386
1963,0.0002806801931001246
1964,0.0002807990531437099
1965,0.00026784202782437205
1966,0.00027039891574531794
1967,0.0002627579087857157
1968,0.00026284068007953465
1969,0.000258129759458825
1970,0.0002593251410871744
1971,0.0002630167582537979
1972,0.0002638655132614076
1973,0.0002593637036625296
1974,0.00026209114002995193
1975,0.0002649023081175983
1976,0.00026442226953804493
1977,0.0002648637746460736
1978,0.00025999255012720823
1979,0.00026387523394078016
1980,0.00026062646065838635
1981,0.0002598704886622727
1982,0.0002561666478868574
1983,0.0002549941709730774
1984,0.00024433928774669766
1985,0.00024380243849009275
1986,0.00024173893325496465
1987,0.00023913687618914992
1988,0.00023409485584124923
1989,0.0002303873625351116
1990,0.0002321674837730825
1991,0.0002311201678821817
1992,0.00022446476214099675
1993,0.00021988365915603936
1994,0.0002176091802539304
1995,0.00021962361643090844
1996,0.00021467515034601092
1997,0.00021014183585066348
1998,0.00020926701836287975
1999,0.00020252206013537943
2000,0.00019729012274183333
2001,0.00019235859508626163
2002,0.00018916047702077776
2003,0.0001887483667815104
2004,0.0001825240906327963
2005,0.00018266744154971093
2006,0.00017740289331413805
2007,0.00017356540774926543
2008,0.0001641635171836242
2009,0.00015573335986118764
2010,0.00014575447130482644
2011,0.00014227777137421072
2012,0.00017017274512909353
2013,0.00016580725787207484
2014,0.00013368752843234688
2015,0.0001306243211729452
2016,0.0001440403430024162
2017,0.0001329325750702992
2018,0.0001334430417045951
2019,0.00013858542661182582
