,these
1800,0.0011762650683522224
1801,0.0011622215388342738
1802,0.0011675921268761158
1803,0.0010995472548529506
1804,0.0012294607004150748
1805,0.0012204658705741167
1806,0.0012126276269555092
1807,0.0012685914989560843
1808,0.0012152408016845584
1809,0.0013181957183405757
1810,0.0011961612617596984
1811,0.001247331267222762
1812,0.0011843390529975295
1813,0.0011881882091984153
1814,0.0011985599994659424
1815,0.0012257862836122513
1816,0.0011938322568312287
1817,0.001238143420778215
1818,0.0012199581833556294
1819,0.0011697720037773252
1820,0.0011900522513315082
1821,0.0011701189214363694
1822,0.0012292821193113923
1823,0.0012222396908327937
1824,0.0012445364845916629
1825,0.0012027522316202521
1826,0.001196697703562677
1827,0.0011707684025168419
1828,0.0011871772585436702
1829,0.001250743051059544
1830,0.00123995216563344
1831,0.001184183289296925
1832,0.001151924952864647
1833,0.0011862224200740457
1834,0.0011928690364584327
1835,0.0011964912991970778
1836,0.0012029302306473255
1837,0.0011573715601116419
1838,0.0011924043064936996
1839,0.001194136100821197
1840,0.0011705162469297647
1841,0.0011978818802163005
1842,0.0011785326059907675
1843,0.0011716709705069661
1844,0.0011737855384126306
1845,0.001169512514024973
1846,0.001146819326095283
1847,0.001159065286628902
1848,0.0011728976387530565
1849,0.001160581479780376
1850,0.0011598750716075301
1851,0.001169368508271873
1852,0.001157699036411941
1853,0.0011366422986611724
1854,0.0011740813497453928
1855,0.0011598110431805253
1856,0.0011432662140578032
1857,0.0011034661438316107
1858,0.001119634136557579
1859,0.001117160776630044
1860,0.0011224111076444387
1861,0.0011034748749807477
1862,0.0011101973941549659
1863,0.001103526446968317
1864,0.0010977195343002677
1865,0.0011019567027688026
1866,0.0010745621984824538
1867,0.001080946996808052
1868,0.0010868144454434514
1869,0.0010867092059925199
1870,0.0010871647391468287
1871,0.001087423413991928
1872,0.0011221637250855565
1873,0.0010907984105870128
1874,0.0010869500692933798
1875,0.0010906843235716224
1876,0.0010890245903283358
1877,0.001070522703230381
1878,0.0010726908221840858
1879,0.0010560874361544847
1880,0.001053965650498867
1881,0.0010462424252182245
1882,0.0010742011945694685
1883,0.0010630101896822453
1884,0.0010546909179538488
1885,0.0010460485937073827
1886,0.001049918937496841
1887,0.001016466412693262
1888,0.0010345260379835963
1889,0.001036725821904838
1890,0.001047199359163642
1891,0.0010360967135056853
1892,0.0010483252117410302
1893,0.0010394955752417445
1894,0.0010461845668032765
1895,0.0010216727387160063
1896,0.0010362140601500869
1897,0.00101718888618052
1898,0.0010301433503627777
1899,0.001015768852084875
1900,0.0010291460203006864
1901,0.0010127376299351454
1902,0.0010365896159783006
1903,0.0010258066467940807
1904,0.0010291398502886295
1905,0.001037423498928547
1906,0.0010240966221317649
1907,0.0010277271503582597
1908,0.0010353593388572335
1909,0.0010365026537328959
1910,0.0010377991711720824
1911,0.001037285546772182
1912,0.0010427648667246103
1913,0.0010426497319713235
1914,0.0010450172703713179
1915,0.0010240160627290606
1916,0.0010572981555014849
1917,0.0010363684268668294
1918,0.0010783595498651266
1919,0.0010770006338134408
1920,0.001087731565348804
1921,0.0010601715184748173
1922,0.001063677715137601
1923,0.0010481098433956504
1924,0.0010811673710122705
1925,0.0010449509136378765
1926,0.0010778172872960567
1927,0.0010430908296257257
1928,0.0010766432387754321
1929,0.001062620896846056
1930,0.0010727575281634927
1931,0.0010421702172607183
1932,0.00108661490958184
1933,0.0010718739358708262
1934,0.0011072084307670593
1935,0.0010701132705435157
1936,0.0010616565123200417
1937,0.0010548705467954278
1938,0.0010790451196953654
1939,0.001063108560629189
1940,0.001074017956852913
1941,0.0010630364995449781
1942,0.0011014114134013653
1943,0.0010873700957745314
1944,0.0010908334515988827
1945,0.0010745296021923423
1946,0.0010765147162601352
1947,0.001083011506125331
1948,0.0010777950519695878
1949,0.0010552149033173919
1950,0.0010684047592803836
1951,0.001061743125319481
1952,0.0010865594958886504
1953,0.0010691051138564944
1954,0.0010635554790496826
1955,0.001089935889467597
1956,0.0011092692147940397
1957,0.0010912340367212892
1958,0.0011150542413815856
1959,0.0011185023467987776
1960,0.0011192306410521269
1961,0.0011180485598742962
1962,0.0011344797676429152
1963,0.0011208015494048595
1964,0.001126050134189427
1965,0.0011105253361165524
1966,0.0011262448970228434
1967,0.0011132379295304418
1968,0.0011055681388825178
1969,0.0011135877575725317
1970,0.0010835013817995787
1971,0.0010712123475968838
1972,0.0010683181462809443
1973,0.001042795367538929
1974,0.0010584649862721562
1975,0.001049407059326768
1976,0.0010404182830825448
1977,0.001027898397296667
1978,0.0010203474666923285
1979,0.001007961924187839
1980,0.001017701462842524
1981,0.0009866724722087383
1982,0.0009755559149198234
1983,0.000978614785708487
1984,0.0009742533438839018
1985,0.0009557294542901218
1986,0.0009633369627408683
1987,0.0009437810513190925
1988,0.0009561057668179274
1989,0.0009260459919460118
1990,0.0009473092504777014
1991,0.0009369974723085761
1992,0.000934842333663255
1993,0.0009187470423057675
1994,0.0009198996121995151
1995,0.0009008777560666203
1996,0.000923258950933814
1997,0.0009266045526601374
1998,0.0009304264676757157
1999,0.000922034028917551
2000,0.0009203247027471662
2001,0.0009026564657688141
2002,0.0009193098521791399
2003,0.0009261965751647949
2004,0.0009342984412796795
2005,0.0009244157117791474
2006,0.0009254244505427778
2007,0.0009210624266415834
2008,0.000913756201043725
2009,0.0009017330012284219
2010,0.0008933236822485924
2011,0.0008456639479845762
2012,0.0008887556614354253
2013,0.0009108069352805614
2014,0.0008276571170426905
2015,0.0008365935063920915
2016,0.0008709041285328567
2017,0.0008386607514694333
2018,0.0008394044125452638
2019,0.0008471960900351405
