,based
2006,0.0003520937461871654
2007,0.000341820705216378
2008,0.0003247841668780893
2009,0.000310594099573791
2010,0.00030977747519500554
2011,0.00030381185933947563
2012,0.00031132830190472305
2013,0.0003069775702897459
2014,0.00028230901807546616
2015,0.00029995807562954724
2016,0.00031143942032940686
2017,0.0002812348830047995
2018,0.0002784712123684585
2019,0.00030443459399975836
