,love
1940,7.660972914891317e-05
1941,6.943455809960142e-05
1942,7.455635932274163e-05
1943,6.926205242052674e-05
1944,7.566498243249953e-05
1945,7.340017327805981e-05
1946,8.175853872671723e-05
1947,7.977397763170302e-05
1948,8.339630585396662e-05
1949,7.750635268166661e-05
1950,8.50458673085086e-05
1951,8.265572250820696e-05
1952,9.131632396019995e-05
1953,8.569832425564528e-05
1954,7.949738210299984e-05
1955,8.310299017466605e-05
1956,8.288247045129538e-05
1957,8.274686842923984e-05
1958,8.134780364343897e-05
1959,7.949930295580998e-05
1960,8.187360799638554e-05
1961,8.227241050917655e-05
1962,8.336811151821166e-05
1963,8.335050370078534e-05
1964,8.239846647484228e-05
1965,8.858145156409591e-05
1966,8.802240336081013e-05
1967,8.798392082098871e-05
1968,9.155953011941165e-05
1969,9.001315629575402e-05
1970,8.94490658538416e-05
1971,8.071957563515753e-05
1972,8.02206268417649e-05
1973,7.620442193001509e-05
1974,7.65987133490853e-05
1975,7.359070878010243e-05
1976,6.988810491748154e-05
1977,7.064789679134265e-05
1978,7.348769577220082e-05
1979,7.196085789473727e-05
1980,7.392132101813331e-05
1981,7.563763938378543e-05
1982,7.717732660239562e-05
1983,7.94480147305876e-05
1984,8.073124627117068e-05
1985,8.015044295461848e-05
1986,8.343002264155075e-05
1987,8.897755469661206e-05
1988,8.891258767107502e-05
1989,8.977998368209228e-05
1990,9.027545456774533e-05
1991,9.482611494604498e-05
1992,9.68945023487322e-05
1993,9.880475408863276e-05
1994,0.00010208298044744879
1995,0.00010198302334174514
1996,0.00010976136400131509
1997,0.00011104259465355426
1998,0.00011473106133053079
1999,0.00012051119847455993
2000,0.00013530255819205195
2001,0.000137445138534531
2002,0.00014144506712909788
2003,0.0001526820269646123
2004,0.00016202715050894767
2005,0.00016566671547479928
2006,0.00017580368148628622
2007,0.0001803815976018086
2008,0.00020141876302659512
2009,0.00022229108435567468
2010,0.00023144923034124076
2011,0.0002487295714672655
2012,0.00023297805455513299
2013,0.00023600731219630688
2014,0.00028484148788265884
2015,0.0002730965497903526
2016,0.0002492947969585657
2017,0.0002743122458923608
2018,0.00027489924104884267
2019,0.0002793522144202143
