,country
1800,0.0005763243534602225
1801,0.0006178415496833622
1802,0.0006539503228850663
1803,0.0005785598768852651
1804,0.0006388010806404054
1805,0.0006245886324904859
1806,0.0005980533896945417
1807,0.0006088411319069564
1808,0.0005633801920339465
1809,0.0005359583301469684
1810,0.0005281410994939506
1811,0.0005652124527841806
1812,0.0007512962911278009
1813,0.0006338487728498876
1814,0.0007089903228916228
1815,0.0006637111073359847
1816,0.0006112225237302482
1817,0.0006991344271227717
1818,0.0006659147911705077
1819,0.0006716069183312356
1820,0.0006754330825060606
1821,0.0005564328166656196
1822,0.0005692121922038496
1823,0.00057265255600214
1824,0.0005540379788726568
1825,0.0005739877233281732
1826,0.0006022744346410036
1827,0.0005755061865784228
1828,0.000606633024290204
1829,0.0006223455420695245
1830,0.0006095520802773535
1831,0.0005994439707137644
1832,0.0004990528104826808
1833,0.0006310793105512857
1834,0.0006099860183894634
1835,0.0005593881942331791
1836,0.000596374913584441
1837,0.00057638855651021
1838,0.0005813168827444315
1839,0.0005462998524308205
1840,0.0005380745860747993
1841,0.0005650643724948168
1842,0.0005286457599140704
1843,0.0005253361305221915
1844,0.0005334334564395249
1845,0.0004883254878222942
1846,0.0005481269909068942
1847,0.0005333123845048249
1848,0.0005589242791756988
1849,0.0005234659183770418
1850,0.0005141267320141196
1851,0.000516467378474772
1852,0.0005178663413971663
1853,0.0005255854339338839
1854,0.0005147914635017514
1855,0.000513354258146137
1856,0.0005105420714244246
1857,0.00048424533451907337
1858,0.0004939022473990917
1859,0.0004669644986279309
1860,0.0004678628465626389
1861,0.0004641111008822918
1862,0.0004593236371874809
1863,0.0004542859096545726
1864,0.00045123067684471607
1865,0.0004500680079218
1866,0.00046957156155258417
1867,0.00043684185948222876
1868,0.00044741627061739564
1869,0.0004212574858684093
1870,0.00043161053326912224
1871,0.0004179820534773171
1872,0.0004108726279810071
1873,0.0003959790337830782
1874,0.00040409862413071096
1875,0.00040320210973732173
1876,0.0004233615763951093
1877,0.00039350881706923246
1878,0.00041988803423009813
1879,0.0004085928958375007
1880,0.00040435706614516675
1881,0.0004042009823024273
1882,0.00041081520612351596
1883,0.00038026869879104197
1884,0.0003972437116317451
1885,0.00038932973984628916
1886,0.00039836272480897605
1887,0.0003803886647801846
1888,0.00039544631727039814
1889,0.0003839208511635661
1890,0.00037743174470961094
1891,0.0003661689697764814
1892,0.0003656628541648388
1893,0.0003828559711109847
1894,0.0003714097256306559
1895,0.00034906729706563056
1896,0.00036426002043299377
1897,0.00036653451388701797
1898,0.00036604987690225244
1899,0.0003634698805399239
1900,0.0003674851031973958
1901,0.0003611623833421618
1902,0.00036333032767288387
1903,0.0003694348852150142
1904,0.0003724144189618528
1905,0.00034995266469195485
1906,0.00034906488144770265
1907,0.0003469509247224778
1908,0.00035816605668514967
1909,0.00037354635423980653
1910,0.0003557800082489848
1911,0.00035856943577528
1912,0.00035054972977377474
1913,0.00035758400917984545
1914,0.00035961330286227167
1915,0.00035145386937074363
1916,0.00037722388515248895
1917,0.00039716935134492815
1918,0.0004241653950884938
1919,0.0004318380088079721
1920,0.00040742370765656233
1921,0.0003957187582273036
1922,0.00038589650648646057
1923,0.00035127709270454943
1924,0.0003726259747054428
1925,0.00034605784458108246
1926,0.0003619575873017311
1927,0.0003309616004116833
1928,0.0003401247668080032
1929,0.00035362804192118347
1930,0.0003470683586783707
1931,0.0003323756391182542
1932,0.0003461664018686861
1933,0.00032220565481111407
1934,0.0003395973762962967
1935,0.0003221677616238594
1936,0.00032085194834508
1937,0.0003241832018829882
1938,0.0003269441076554358
1939,0.00032201933208853006
1940,0.0003113814746029675
1941,0.00031314807711169124
1942,0.0003275868948549032
1943,0.00033607473596930504
1944,0.0003366156597621739
1945,0.0003491856623440981
1946,0.00033844582503661513
1947,0.0003389536286704242
1948,0.0003265452978666872
1949,0.00029830471612513065
1950,0.000309279392240569
1951,0.00030596923897974193
1952,0.0003006696351803839
1953,0.00029074394842609763
1954,0.0002819538058247417
1955,0.0002806914271786809
1956,0.00028914163704030216
1957,0.000269842246780172
1958,0.0002865933929570019
1959,0.0002756982867140323
1960,0.00027549450169317424
1961,0.000280989013845101
1962,0.0002858395455405116
1963,0.0002834929327946156
1964,0.0002841452951543033
1965,0.0002917402016464621
1966,0.0002974780509248376
1967,0.0002985753526445478
1968,0.00030534970574080944
1969,0.0003174407174810767
1970,0.00029369149706326425
1971,0.000303613836877048
1972,0.00027029437478631735
1973,0.0002630818053148687
1974,0.0002627985959406942
1975,0.00024966755881905556
1976,0.00024884380400180817
1977,0.0002433030167594552
1978,0.00023992288333829492
1979,0.00024178519379347563
1980,0.00024238790501840413
1981,0.0002291552082169801
1982,0.00023124778817873448
1983,0.00023217474517878145
1984,0.00022796510893385857
1985,0.00022889494721312076
1986,0.0002286299131810665
1987,0.00022173869365360588
1988,0.0002321889769518748
1989,0.000226602001930587
1990,0.00022891140542924404
1991,0.00022702058777213097
1992,0.00023067907022777945
1993,0.00022256649390328676
1994,0.0002202939649578184
1995,0.00022082605573814362
1996,0.0002170231455238536
1997,0.00021705364633817226
1998,0.0002155828260583803
1999,0.00021530553931370378
2000,0.00021497206762433052
2001,0.00021275990002322942
2002,0.00021079560974612832
2003,0.00020988090545870364
2004,0.00021290652512107044
2005,0.0002163259341614321
2006,0.00021539257431868464
2007,0.00021876035316381603
2008,0.00021618603204842657
2009,0.00020572722132783383
2010,0.0001994025951717049
