,number
1800,0.0003427484189160168
1801,0.0003156022576149553
1802,0.00033738979254849255
1803,0.00030464486917480826
1804,0.00032827246468514204
1805,0.0003359125694260001
1806,0.00032039766665548086
1807,0.0003322541597299278
1808,0.0002976880641654134
1809,0.0003412980295252055
1810,0.00031341632711701095
1811,0.00030493043595924973
1812,0.0003397746186237782
1813,0.0003525485808495432
1814,0.00035094472696073353
1815,0.0003468992072157562
1816,0.00032079615630209446
1817,0.00035040752845816314
1818,0.00036589716910384595
1819,0.0003718066727742553
1820,0.00031827075872570276
1821,0.00031218561343848705
1822,0.00032099339296109974
1823,0.0003300669777672738
1824,0.00031254623900167644
1825,0.00032803279464133084
1826,0.00033346464624628425
1827,0.00033105097827501595
1828,0.00033492702641524374
1829,0.00034807875636033714
1830,0.0003460546722635627
1831,0.00034934375435113907
1832,0.00034959521144628525
1833,0.0003523156337905675
1834,0.00035345545620657504
1835,0.0003585295344237238
1836,0.00037553763831965625
1837,0.0003572898276615888
1838,0.0003646422119345516
1839,0.00035556938382796943
1840,0.00035262457095086575
1841,0.0003579725744202733
1842,0.00037436067941598594
1843,0.0003557431627996266
1844,0.00033334080944769084
1845,0.00035779699101112783
1846,0.00033036479726433754
1847,0.00035799804027192295
1848,0.00035161091363988817
1849,0.00035084638511762023
1850,0.00034282650449313223
1851,0.0003542313352227211
1852,0.00034525239607319236
1853,0.0003407155454624444
1854,0.00034127000253647566
1855,0.00035771558759734035
1856,0.000345994922099635
1857,0.00034626564593054354
1858,0.00034537698957137764
1859,0.00035870549618266523
1860,0.0003526962245814502
1861,0.0003613057779148221
1862,0.0003526984655763954
1863,0.00037035028799436986
1864,0.00035245847539044917
1865,0.00037177460035309196
1866,0.00036623733467422426
1867,0.00037071024416945875
1868,0.00037665857234969735
1869,0.00037201042869128287
1870,0.00037761745625175536
1871,0.0003739059902727604
1872,0.00038050400326028466
1873,0.00038564999704249203
1874,0.0003976891457568854
1875,0.0003974932187702507
1876,0.0004097603668924421
1877,0.00041132711339741945
1878,0.0004035985330119729
1879,0.0003968107921537012
1880,0.00038603824214078486
1881,0.0003957929147873074
1882,0.00040017295395955443
1883,0.00039681640919297934
1884,0.0004049264534842223
1885,0.0004057381011079997
1886,0.00040687451837584376
1887,0.00039861141704022884
1888,0.0004091104492545128
1889,0.00042208682862110436
1890,0.0004144742852076888
1891,0.0004268199554644525
1892,0.0004168898449279368
1893,0.00042992644011974335
1894,0.00043629849096760154
1895,0.00043792807264253497
1896,0.0004267844487912953
1897,0.00043231507879681885
1898,0.000426558282924816
1899,0.0004091174923814833
1900,0.0004303196619730443
1901,0.00043782751890830696
1902,0.00046131230192258954
1903,0.0004420881159603596
1904,0.00044732121750712395
1905,0.00045469211181625724
1906,0.00044878036715090275
1907,0.00046405853936448693
1908,0.00046416578697972
1909,0.0004693728988058865
1910,0.00046665879199281335
1911,0.0004976472700946033
1912,0.0004700414719991386
1913,0.0004924422246403992
1914,0.0004855722945649177
1915,0.0004871368582826108
1916,0.0004941585939377546
1917,0.00047955085756257176
1918,0.0004847723466809839
1919,0.0004913078737445176
1920,0.0004835143336094916
1921,0.0004866484669037163
1922,0.00048651976976543665
1923,0.00048398959916085005
1924,0.0005021578399464488
1925,0.0004911429714411497
1926,0.0004987657885067165
1927,0.0004987765569239855
1928,0.0004941035876981914
1929,0.0004969640867784619
1930,0.0005154191167093813
1931,0.0005076807574369013
1932,0.0005065156728960574
1933,0.0005117880064062774
1934,0.0004933489253744483
1935,0.0004860220942646265
1936,0.0004974115872755647
1937,0.0005143590387888253
1938,0.0005164677277207375
1939,0.0005126725300215185
1940,0.0005070720799267292
1941,0.0005092511419206858
1942,0.0004950781003572047
1943,0.0004739625728689134
1944,0.0004687431501224637
1945,0.00047030943096615374
1946,0.00046480685705319047
1947,0.00048014672938734293
1948,0.00046838773414492607
1949,0.0004637010279111564
1950,0.0004690984496846795
1951,0.00046646432019770145
1952,0.00048456020886078477
1953,0.0004778968868777156
1954,0.0004866703529842198
1955,0.0004825894720852375
1956,0.0004966786946170032
1957,0.0004842189373448491
1958,0.0004970914451405406
1959,0.0005018243100494146
1960,0.0005071895429864526
1961,0.0005167311755940318
1962,0.0005109641933813691
1963,0.0005091967759653926
1964,0.0005126657197251916
1965,0.0005023448029533029
1966,0.0005056252120994031
1967,0.0004967258428223431
1968,0.0004927693516947329
1969,0.000498882494866848
1970,0.0004977943026460707
1971,0.000511400168761611
1972,0.0005163499736227095
1973,0.0004929027636535466
1974,0.0005041910335421562
1975,0.0005093215149827302
1976,0.0005097399698570371
1977,0.0005048028542660177
1978,0.0004926742985844612
