,left
1800,0.0003056512214243412
1801,0.00029255030676722527
1802,0.00028519253828562796
1803,0.00027701276121661067
1804,0.00028411924722604454
1805,0.00030560875893570483
1806,0.0002842969843186438
1807,0.0002802323433570564
1808,0.0002949196205008775
1809,0.0003025599871762097
1810,0.0002934076765086502
1811,0.0002926792949438095
1812,0.0002914801880251616
1813,0.0003057534631807357
1814,0.00033017853274941444
1815,0.00032435631146654487
1816,0.00029780357726849616
1817,0.00030421963310800493
1818,0.0002910053008235991
1819,0.00028732549981214106
1820,0.00032276983256451786
1821,0.0003084985655732453
1822,0.0002993120870087296
1823,0.00030632162815891206
1824,0.0003026871709153056
1825,0.00031293375650420785
1826,0.00029517043731175363
1827,0.0003215968608856201
1828,0.00030991691164672375
1829,0.0003135654260404408
1830,0.0003043331962544471
1831,0.0003015573602169752
1832,0.00025193681358359754
1833,0.00030522613087669015
1834,0.00031013821717351675
1835,0.00030533361132256687
1836,0.00031111427233554423
1837,0.00029602894210256636
1838,0.0003116228908766061
1839,0.000312696531182155
1840,0.0003071388928219676
1841,0.00031413647229783237
1842,0.00031617979402653873
1843,0.0003084573254454881
1844,0.00031218104413710535
1845,0.00030724756652489305
1846,0.0003108756791334599
1847,0.00031642738031223416
1848,0.0003216787881683558
1849,0.00030474233790300786
1850,0.0003123382048215717
1851,0.0002999368589371443
1852,0.00031252726330421865
1853,0.0003131501725874841
1854,0.00031143499654717743
1855,0.000320454069878906
1856,0.0003180376370437443
1857,0.0003209021524526179
1858,0.0003119105822406709
1859,0.0003094203711953014
1860,0.0003228834830224514
1861,0.0003246655687689781
1862,0.0003433852980379015
1863,0.00034535909071564674
1864,0.00035131615004502237
1865,0.00034515676088631153
1866,0.0003519277088344097
1867,0.0003199670754838735
1868,0.0003151986456941813
1869,0.00030934816459193826
1870,0.00031133374432101846
1871,0.0003075174172408879
1872,0.00030171082471497357
1873,0.000305746536469087
1874,0.00029920233646407723
1875,0.0003114493447355926
1876,0.00031381266308017075
1877,0.0003084192576352507
1878,0.0003048143407795578
1879,0.0003145389200653881
1880,0.0003184795787092298
1881,0.00030502918525598943
1882,0.00031378312269225717
1883,0.00031172853778116405
1884,0.00031132460571825504
1885,0.0003149844706058502
1886,0.00030488279298879206
1887,0.00029817307949997485
1888,0.0003005379403475672
1889,0.00030142604373395443
1890,0.00030429812613874674
1891,0.00031404729816131294
1892,0.00030372876790352166
1893,0.0003025344340130687
1894,0.00029818169423379004
1895,0.00028728682082146406
1896,0.0002939180703833699
1897,0.0002850645687431097
1898,0.0002922657295130193
1899,0.00030451753991656005
1900,0.0003021513985004276
1901,0.0002784659736789763
1902,0.0002799526846501976
1903,0.000273313547950238
1904,0.0002850857563316822
1905,0.00027063232846558094
1906,0.00026339097530581057
1907,0.0002614432305563241
1908,0.0002614772820379585
1909,0.00025616964558139443
1910,0.00025874513085000217
1911,0.000249338336288929
1912,0.000249318836722523
1913,0.00023691497335676104
1914,0.0002447353326715529
1915,0.00023900896485429257
1916,0.0002448679297231138
1917,0.00024190395197365433
1918,0.00024885611492209136
1919,0.0002364811225561425
1920,0.0002498527173884213
1921,0.00023730073007754982
1922,0.0002423298719804734
1923,0.00023833606974221766
1924,0.00023169360065367073
1925,0.00022854047711007297
1926,0.00023199240968097
1927,0.00023046566639095545
1928,0.00022923876531422138
1929,0.00022759591229259968
1930,0.00022793396783526987
1931,0.0002188740618294105
1932,0.00022063139476813376
1933,0.00021042472508270293
1934,0.0002183847245760262
1935,0.00021941457816865295
1936,0.00021745341655332595
1937,0.0002188475482398644
1938,0.00021635163284372538
1939,0.00020572853100020438
1940,0.0002148385246982798
1941,0.00020265430794097483
1942,0.0002178206341341138
1943,0.0002146531332982704
1944,0.00022269108740147203
1945,0.00021299454965628684
1946,0.00022189873561728746
1947,0.00021145321079529822
1948,0.00021451947395689785
1949,0.0002034668723354116
1950,0.00021528138313442469
1951,0.00020504166604951024
1952,0.0002148117928300053
1953,0.00020475746714510024
1954,0.00020723046327475458
1955,0.00020226309425197542
1956,0.000205342672416009
1957,0.00020254655100870878
1958,0.0002040652179857716
1959,0.000197352739633061
1960,0.0002011680044233799
1961,0.00019406666979193687
1962,0.00019885256187990308
1963,0.0001959158107638359
1964,0.0002026773290708661
1965,0.0001970927114598453
1966,0.0001968280121218413
1967,0.0001952332677319646
1968,0.00020207099441904575
1969,0.00020083700655959547
1970,0.00019399859593249857
1971,0.00019058349425904453
1972,0.000188817924936302
1973,0.00017821052460931242
1974,0.00017943287093658
1975,0.00017542392015457153
1976,0.00017493545601610094
1977,0.00017366242536809295
1978,0.00017207641212735325
1979,0.00017304555512964725
1980,0.00017758157628122717
1981,0.00017738592578098178
1982,0.00017859293438959867
1983,0.00018043298041447997
1984,0.0001833349233493209
1985,0.00019205774879083037
1986,0.00018521014135330915
1987,0.00018835066293831915
1988,0.00018992333207279444
1989,0.000190971972187981
1990,0.0001926841796375811
1991,0.00019384284678380936
1992,0.00019368725770618767
1993,0.00019342234008945525
1994,0.00019503939256537706
1995,0.0001926485711010173
1996,0.0002012799959629774
1997,0.00020733536803163588
1998,0.00021126876526977867
1999,0.00021898427803535014
2000,0.0002343486703466624
2001,0.00023765352671034634
2002,0.00024271014262922108
2003,0.00024969037622213364
2004,0.000260558765148744
2005,0.0002627945505082607
2006,0.0002696129959076643
2007,0.0002789371064864099
2008,0.0002968671324197203
2009,0.00031783603481017053
2010,0.00034160027280449867
2011,0.00036433522473089397
2012,0.00034517195308580995
2013,0.00033640136825852096
2014,0.0003762556007131934
2015,0.0003703096299432218
2016,0.0003442614688538015
2017,0.00036117539275437593
2018,0.00035269171348772943
2019,0.0003604609810281545
