,read
1800,0.00018951407400891185
1801,0.00020255414710845798
1802,0.00020845684048254043
1803,0.0007055742316879332
1804,0.00020568424952216446
1805,0.00019513609004206955
1806,0.00020855996990576386
1807,0.0001956861960934475
1808,0.00023598114785272628
1809,0.0002355412143515423
1810,0.00021137976727914065
1811,0.00022459296451415867
1812,0.00024112139362841845
1813,0.00028970299172215164
1814,0.00025483814533799887
1815,0.00021997491421643645
1816,0.00029088667361065745
1817,0.0002579805441200733
1818,0.00027258991030976176
1819,0.0002299463958479464
1820,0.00024250255955848843
1821,0.00026675048866309226
1822,0.00020934539497829974
1823,0.00023307361698243767
1824,0.00022648533922620118
1825,0.0002359660720685497
1826,0.000265424489043653
1827,0.00023026556300465018
1828,0.00027968906215392053
1829,0.0002089438057737425
1830,0.0002345895190956071
1831,0.00022172339959070086
1832,0.0002030566829489544
1833,0.00023486241116188467
1834,0.00024316960480064154
1835,0.00024131288228090852
1836,0.00026025917031802237
1837,0.000260811677435413
1838,0.0002465900615788996
1839,0.0002415693161310628
1840,0.0002357500052312389
1841,0.00024100633163470775
1842,0.0002325023669982329
1843,0.00023620636784471571
1844,0.0002565142640378326
1845,0.0002173350367229432
1846,0.0002547974290791899
1847,0.00024634887813590467
1848,0.00024071517691481858
1849,0.00026734001585282385
1850,0.0002382038364885375
1851,0.00024717135238461196
1852,0.00027892980142496526
1853,0.00027911210781894624
1854,0.00027314183535054326
1855,0.0002908679307438433
1856,0.000251217425102368
1857,0.00027022784342989326
1858,0.00023547060845885426
1859,0.0002521727292332798
1860,0.0002466391015332192
1861,0.0002856745559256524
1862,0.00024456946994177997
1863,0.0002619657025206834
1864,0.0002490354818291962
1865,0.0002851372992154211
1866,0.0002600530278868973
1867,0.00028547545662149787
1868,0.00026848772540688515
1869,0.00028098945040255785
1870,0.00027610789402388036
1871,0.00027720475918613374
1872,0.00028290535556152463
1873,0.00027625609072856605
1874,0.0002750717685557902
1875,0.0002737014146987349
1876,0.00027249575941823423
1877,0.00027948079514317214
1878,0.00027032781508751214
1879,0.0002789878926705569
1880,0.0002536518150009215
1881,0.0002711446431931108
1882,0.00026256489218212664
1883,0.00024705813848413527
1884,0.0002464289136696607
1885,0.0002609849034342915
1886,0.00025149513385258615
1887,0.00026678762515075505
1888,0.0002506390737835318
1889,0.0002683603670448065
1890,0.00022213853662833571
1891,0.00024179859610740095
1892,0.00021803341223858297
1893,0.00024516379926353693
1894,0.0002238350425614044
1895,0.00022651275503449142
1896,0.00021448188635986298
1897,0.00022978748893365264
1898,0.00020653574028983712
1899,0.0002329989947611466
1900,0.00020865965052507818
1901,0.00022531190188601613
1902,0.00020503945415839553
1903,0.00021736578491982073
1904,0.0002079953846987337
1905,0.0002137089759344235
1906,0.00019652658374980092
