,found
1800,0.0005562201258726418
1801,0.0005702065536752343
1802,0.0005648297374136746
1803,0.0005486656446009874
1804,0.0005722267087548971
1805,0.0005562501610256732
1806,0.0005436799838207662
1807,0.0005552027141675353
1808,0.0005152318626642227
1809,0.0006146560772322118
1810,0.0005591822555288672
1811,0.000595197721850127
1812,0.0005132979713380337
1813,0.0005296787130646408
1814,0.0005437993095256388
1815,0.000549364136531949
1816,0.0005411870079115033
1817,0.0005615668487735093
1818,0.0005688382079824805
1819,0.0005870325840078294
1820,0.0005650168750435114
1821,0.0005500250263139606
1822,0.0005497855017893016
1823,0.0005621109157800674
1824,0.000566007278393954
1825,0.0005471294862218201
1826,0.000546033144928515
1827,0.0005438738153316081
1828,0.0005386320408433676
1829,0.0005624059122055769
1830,0.0005403413088060915
1831,0.0005463858251459897
1832,0.0005168396164663136
1833,0.0005531656788662076
1834,0.000559159554541111
1835,0.0005667422083206475
1836,0.0005552048096433282
1837,0.0005418062210083008
1838,0.0005451038596220315
1839,0.000553684716578573
1840,0.0005482198321260512
1841,0.0005549665074795485
1842,0.0005632260581478477
1843,0.0005556229734793305
1844,0.0005413169856183231
1845,0.0005633020191453397
1846,0.0005387537530623376
1847,0.0005489575560204685
1848,0.0005558689590543509
1849,0.0005631066742353141
1850,0.0005492438795045018
1851,0.0005390002042986453
1852,0.0005566956824623048
1853,0.000544962880667299
1854,0.000550595112144947
1855,0.0005623393808491528
1856,0.000562407891266048
1857,0.0005512286443263292
1858,0.0005543451989069581
1859,0.0005530064227059484
1860,0.0005563105223700404
1861,0.0005554261733777821
1862,0.000565050111617893
1863,0.0005679520545527339
1864,0.0005477740196511149
1865,0.0005562480655498803
1866,0.00054086436284706
1867,0.0005408741999417543
1868,0.0005409793229773641
1869,0.000551318284124136
1870,0.0005486201262101531
1871,0.000551559089217335
1872,0.0005482888082042336
1873,0.0005673032137565315
1874,0.0005619686562567949
1875,0.000578091130591929
1876,0.0005740657215937972
1877,0.0005653943517245352
1878,0.0005808548303321004
1879,0.0005668240482918918
1880,0.0005775315221399069
1881,0.0005696724983863533
1882,0.000574573699850589
1883,0.0005858343793079257
1884,0.0005768107948824763
1885,0.0005753373261541128
1886,0.000560474640224129
1887,0.0005561656435020268
1888,0.0005538418772630394
1889,0.0005564709426835179
1890,0.0005677726003341377
1891,0.0005601022276096046
1892,0.0005694433930329978
1893,0.0005562707083299756
1894,0.000558059720788151
1895,0.0005507072783075273
1896,0.0005599966389127076
1897,0.0005495098885148764
1898,0.0005572104710154235
1899,0.0005364847020246089
1900,0.0005474622012116015
1901,0.000534516351763159
1902,0.0005433757323771715
1903,0.0005430429009720683
1904,0.000539113359991461
1905,0.0005443882546387613
1906,0.0005338579067029059
1907,0.0005304426304064691
1908,0.0005340275238268077
1909,0.0005161336157470942
1910,0.000532436475623399
1911,0.0005255771684460342
1912,0.0005222303443588316
1913,0.0005053126951679587
1914,0.0005078520043753088
1915,0.0004952686722390354
1916,0.0004949755384586751
1917,0.000480038725072518
1918,0.0004795687855221331
1919,0.00047161360271275043
1920,0.0004930421127937734
1921,0.0004883627407252789
1922,0.0005008000880479813
1923,0.0005083831492811441
1924,0.0005034555797465146
1925,0.0005091403145343065
1926,0.0005197204882279038
1927,0.0005128146731294692
1928,0.0005144791794009507
1929,0.0005053606582805514
1930,0.0005021091201342642
1931,0.0004932326846756041
1932,0.0004964498220942914
1933,0.0004891468561254442
1934,0.000491086975671351
1935,0.0004737075068987906
1936,0.0004632119962479919
1937,0.00046783717698417604
1938,0.00046858543646521866
1939,0.0004429004911798984
1940,0.00045389935257844627
1941,0.0004270279314368963
1942,0.00043894414557144046
1943,0.0004215818480588496
