,following
1800,0.00027059775311499834
1801,0.0002996590919792652
1802,0.0003054582921322435
1803,0.0002788080309983343
1804,0.00027692291769199073
1805,0.0002900314284488559
1806,0.00029734120471403003
1807,0.0002965414896607399
1808,0.0002786108525469899
1809,0.0002870767202693969
1810,0.00027746311388909817
1811,0.00027757135103456676
1812,0.00027195748407393694
1813,0.00030209668329916894
1814,0.00031861005118116736
1815,0.0003074645937886089
1816,0.0002859277883544564
1817,0.00031492518610320985
1818,0.0003013033710885793
1819,0.0003054405970033258
1820,0.00029917218489572406
1821,0.0003252393798902631
1822,0.0002869827440008521
1823,0.0003142302157357335
1824,0.00029979314422234893
1825,0.00029842249932698905
1826,0.0003056261921301484
1827,0.00029724897467531264
1828,0.00031953788129612803
1829,0.0003118575259577483
1830,0.00030691493884660304
1831,0.0003090070094913244
1832,0.00032718677539378405
1833,0.0003044549375772476
1834,0.0003146757371723652
1835,0.0003201662329956889
1836,0.00031611757003702223
1837,0.0003208073612768203
1838,0.00032307280343957245
1839,0.00032008931157179177
1840,0.0003172862925566733
1841,0.0003306804574094713
1842,0.00032062354148365557
1843,0.00032704256591387093
1844,0.0003211907169315964
1845,0.00031583153759129345
1846,0.0003262303944211453
1847,0.00032636179821565747
1848,0.000330388720612973
1849,0.00033162179170176387
1850,0.0003178405750077218
1851,0.00032467005075886846
1852,0.0003269194276072085
1853,0.00031488505192101
1854,0.00030965235782787204
1855,0.00033187048393301666
1856,0.00031866971403360367
1857,0.000338376295985654
1858,0.0003306772268842906
1859,0.000334687065333128
1860,0.00032470328733325005
1861,0.0003572481218725443
1862,0.00033885068842209876
1863,0.00035034946631640196
1864,0.00034481764305382967
1865,0.0003605230594985187
1866,0.00034318596590310335
1867,0.0003458550781942904
1868,0.000335290766088292
1869,0.0003343035059515387
1870,0.00034177908673882484
1871,0.00034494843566790223
1872,0.0003427855554036796
1873,0.0003623263619374484
1874,0.00036069107591174543
1875,0.00036608855589292943
1876,0.0003552846610546112
1877,0.000376472482457757
1878,0.00036374665796756744
1879,0.00037243516999296844
1880,0.0003631986037362367
1881,0.00037921371404081583
1882,0.0003468939976301044
1883,0.000357631070073694
1884,0.0003575585433281958
1885,0.0003727890725713223
1886,0.0003694603219628334
1887,0.0003719808009918779
1888,0.0003601800708565861
1889,0.00038233419763855636
1890,0.0003602041688282043
1891,0.0003890229854732752
1892,0.00036529425415210426
1893,0.00037249826709739864
1894,0.0003505311324261129
1895,0.000369526183931157
1896,0.00035636956454254687
1897,0.00036683992948383093
1898,0.00035476175253279507
1899,0.0003585312224458903
1900,0.0003469346556812525
1901,0.00038024160312488675
1902,0.0003608371189329773
1903,0.00037363599403761327
1904,0.0003606171521823853
1905,0.0003783145803026855
1906,0.0003605877864174545
1907,0.00037638258072547615
1908,0.0003710574237629771
1909,0.00038839373155497015
1910,0.0003721801040228456
1911,0.000390197237720713
1912,0.0003808232140727341
1913,0.0004007710376754403
1914,0.0003845730097964406
1915,0.00040839932626113296
1916,0.00039649143582209945
1917,0.00041986568248830736
1918,0.00040250777965411544
1919,0.00040762798744253814
1920,0.0003951130493078381
1921,0.0004098989593330771
1922,0.0003895736881531775
1923,0.00039768879651091993
1924,0.0003830984642263502
1925,0.0003970237448811531
1926,0.00038338807644322515
1927,0.00039344493416137993
1928,0.0003747429000213742
1929,0.0003896188864018768
1930,0.0003752112970687449
1931,0.0004109928268007934
1932,0.0003830322530120611
1933,0.0004159849777352065
1934,0.00039024153375066817
1935,0.00039839898818172514
1936,0.0003785874287132174
1937,0.00038919851067475975
1938,0.0003810573252849281
1939,0.00040683301631361246
1940,0.00037962125497870147
1941,0.0004009811964351684
1942,0.0003697605279739946
1943,0.0003912422980647534
1944,0.0003797206445597112
1945,0.00040241822716780007
1946,0.0003839023702312261
1947,0.00038664834573864937
1948,0.00036378204822540283
1949,0.0003831451467704028
1950,0.00036183500196784735
1951,0.0003687254502438009
1952,0.00034935554140247405
1953,0.0003680443041957915
1954,0.0003579468175303191
1955,0.00036385172279551625
1956,0.0003498380829114467
1957,0.00036611442919820547
1958,0.0003545433282852173
1959,0.0003663474344648421
1960,0.0003505867498461157
1961,0.0003602821670938283
1962,0.0003505231870803982
1963,0.00035724154440686107
1964,0.0003575488808564842
1965,0.00035173926153220236
1966,0.00034451522515155375
1967,0.00035385473165661097
1968,0.0003366560849826783
1969,0.00034765974851325154
1970,0.00034294967190362513
1971,0.00035349870449863374
1972,0.00034894089912995696
1973,0.00035848867264576256
1974,0.0003489545779302716
1975,0.000366396241588518
1976,0.00035427926923148334
1977,0.0003585779923014343
1978,0.0003481991298031062
