,down
1800,0.0003960409667342901
1801,0.00032945122802630067
1802,0.00032188455224968493
1803,0.00030727582634426653
1804,0.00031137370388023555
1805,0.0003239849174860865
1806,0.00032543943962082267
1807,0.0003163828223478049
1808,0.0003442604502197355
1809,0.00033119364525191486
1810,0.000320894323522225
1811,0.00031987528200261295
1812,0.00029636372346431017
1813,0.00031620965455658734
1814,0.000309404160361737
1815,0.00032863562228158116
1816,0.00033104390604421496
1817,0.0003157604078296572
1818,0.0003277765936218202
1819,0.0003279593074694276
1820,0.00035758817102760077
1821,0.0003526942164171487
1822,0.0003597615868784487
1823,0.00035400837077759206
1824,0.0003575213486328721
1825,0.0003664843097794801
1826,0.0003486950299702585
1827,0.00035058261710219085
1828,0.00035788354580290616
1829,0.0003590329724829644
1830,0.0003505535132717341
1831,0.0003676280612125993
1832,0.0003344317665323615
1833,0.0003722655528690666
1834,0.00036814552731812
1835,0.00036175057175569236
1836,0.0003710608871188015
1837,0.0003721724497154355
1838,0.00037767094909213483
1839,0.00038231053622439504
1840,0.0003753506171051413
1841,0.00039620406460016966
1842,0.00039663512143306434
1843,0.0003911109524779022
1844,0.0003993045538663864
1845,0.00037638895446434617
1846,0.00038999770185910165
1847,0.0003887208295054734
1848,0.00039622065378353
1849,0.0003913354012183845
1850,0.0004048857663292438
1851,0.0003837937256321311
1852,0.00040983292274177074
1853,0.00040443302714265883
1854,0.0004002126806881279
1855,0.00040938385063782334
1856,0.0004177759401500225
1857,0.00042466705781407654
1858,0.0004126839048694819
1859,0.0004036635218653828
1860,0.00042466112063266337
1861,0.0004157169023528695
1862,0.00043938704766333103
1863,0.00043451396049931645
1864,0.0004352159157861024
1865,0.0004463241493795067
1866,0.0004393068957142532
1867,0.0004306935879867524
1868,0.00043714791536331177
1869,0.0004429457476362586
1870,0.0004236182139720768
1871,0.0004281632136553526
1872,0.000436306931078434
1873,0.00042252501589246094
1874,0.00041736720595508814
1875,0.0004193643981125206
1876,0.0004226079036016017
1877,0.0004114222538191825
1878,0.00040983688086271286
1879,0.00041037079063244164
1880,0.00041725783376023173
1881,0.00040580498171038926
1882,0.00041797530138865113
1883,0.0004189563333056867
1884,0.00040834888932295144
1885,0.0004108802822884172
1886,0.00039047986501827836
1887,0.0003960485046263784
1888,0.00039086153265088797
1889,0.00039338067290373147
1890,0.00039921223651617765
1891,0.00039259393815882504
1892,0.00039881092379800975
1893,0.00039625997305847704
1894,0.00040571572026237845
1895,0.0003880620643030852
1896,0.00040730481850914657
1897,0.00038553960621356964
1898,0.0003986173833254725
1899,0.0004308631760068238
1900,0.0004061686049681157
1901,0.0003810594498645514
1902,0.00038058377685956657
1903,0.0003756403166335076
1904,0.0003799581609200686
1905,0.0003609428822528571
1906,0.0003637787012849003
1907,0.0003626235411502421
1908,0.00036634269054047763
1909,0.00036264685331843793
1910,0.00035856437170878053
1911,0.0003526844084262848
1912,0.0003505591885186732
1913,0.0003448192437645048
1914,0.00033930529025383294
1915,0.0003218169731553644
1916,0.0003271537716500461
1917,0.0003237281634937972
1918,0.0003291252360213548
1919,0.0003337884263601154
1920,0.0003475224366411567
1921,0.0003401653957553208
1922,0.00034483385388739407
1923,0.0003436463593970984
1924,0.00034701390541158617
1925,0.0003417270490899682
1926,0.0003375880769453943
1927,0.0003346033627167344
1928,0.0003371667116880417
1929,0.000336851371685043
1930,0.00033622721093706787
1931,0.0003170572454109788
1932,0.0003269434382673353
1933,0.00031003463664092124
1934,0.0003269016742706299
1935,0.00032828442635945976
1936,0.00032405415549874306
1937,0.000319936458254233
1938,0.0003186977410223335
1939,0.00030690088169649243
1940,0.0003111485275439918
1941,0.00030171353137120605
1942,0.0003244892868679017
1943,0.0003276902134530246
1944,0.000338606012519449
1945,0.0003243677783757448
1946,0.0003363755240570754
1947,0.0003305007121525705
1948,0.0003274164046160877
1949,0.00030661578057333827
1950,0.00031300948467105627
1951,0.00031931998091749847
1952,0.0003193692828062922
1953,0.00031056947773322463
1954,0.00030226397211663425
1955,0.00030573256663046777
1956,0.0003046591009479016
1957,0.00029718433506786823
1958,0.0002966733300127089
1959,0.00028253879281692207
1960,0.0002811978047247976
1961,0.00027808157028630376
1962,0.0002781128278002143
1963,0.0002707793901208788
1964,0.0002676929871086031
1965,0.0002671891706995666
1966,0.00026778681785799563
1967,0.0002673024428077042
1968,0.00027269808924756944
1969,0.00027159746969118714
1970,0.0002696544979698956
1971,0.00025593157624825835
1972,0.00025252782506868243
1973,0.0002464515855535865
1974,0.00025126762920990586
1975,0.0002440395182929933
1976,0.00024057395057752728
1977,0.00023697987489867955
1978,0.00023534210049547255
1979,0.0002371529262745753
1980,0.00024195044534280896
1981,0.00024353784101549536
1982,0.000246795971179381
1983,0.0002500875561963767
1984,0.00025235681096091866
1985,0.00025056657614186406
1986,0.00025682596606202424
1987,0.00026173118385486305
1988,0.00026495003839954734
1989,0.00026496907230466604
1990,0.00027069804491475224
1991,0.0002761416253633797
1992,0.0002775046450551599
1993,0.0002772842417471111
1994,0.00028422128525562584
1995,0.000279352767392993
1996,0.00029310767422430217
1997,0.00029873879975639284
1998,0.00030578835867345333
1999,0.00031538671464659274
2000,0.00035378217580728233
2001,0.0003617788606788963
2002,0.0003682451497297734
2003,0.00038348883390426636
2004,0.00039937844849191606
2005,0.0004092651361133903
