,b
1952,0.00023300742032006383
1953,0.00024050107458606362
1954,0.00027020470588468015
1955,0.00024551295791752636
1956,0.0002364284300711006
1957,0.0002496426459401846
1958,0.0002635631535667926
1959,0.00026038437499664724
1960,0.00025566158001311123
1961,0.00026591590722091496
1962,0.0002695179427973926
1963,0.0002680559700820595
1964,0.00027630847762338817
1965,0.0002765718090813607
1966,0.00027927549672313035
1967,0.0002752032596617937
1968,0.000266852235654369
1969,0.000273676123470068
1970,0.00028415326960384846
1971,0.0003023587341886014
1972,0.0003054944972973317
1973,0.00032003773958422244
1974,0.0003131412377115339
1975,0.0003313892229925841
1976,0.00033824561978690326
1977,0.00033277421607635915
1978,0.0003340391849633306
1979,0.0003374069056008011
1980,0.0003388691402506083
1981,0.00034207457792945206
1982,0.0003573893627617508
1983,0.0003458356368355453
1984,0.0003336576628498733
1985,0.00033404611167497933
1986,0.00032983210985548794
1987,0.0003425669274292886
1988,0.00035274517722427845
1989,0.0003436625702306628
1990,0.0003514599520713091
1991,0.00033638242166489363
1992,0.00034288468305021524
1993,0.00032070939778350294
1994,0.0003336322552058846
1995,0.0003864242462441325
1996,0.0003468105278443545
1997,0.0003312868648208678
1998,0.00031935705919750035
1999,0.0003172106225974858
2000,0.0003105180221609771
2001,0.00032339972676709294
2002,0.00029797948081977665
2003,0.00028566844412125647
2004,0.00026534052449278533
2005,0.000271796016022563
2006,0.0002651287359185517
2007,0.00025263361749239266
2008,0.00024827575543895364
2009,0.00023285779752768576
2010,0.0002157690323656425
2011,0.0002115238894475624
2012,0.00022375489061232656
2013,0.00020005131955258548
2014,0.00018078713037539274
2015,0.00017294022836722434
2016,0.0001799871533876285
2017,0.00016994966426864266
2018,0.00016845350910443813
2019,0.00018042665033135563
