,view
1800,0.00019703431462403387
1801,0.00020158605184406042
1802,0.00023326021619141102
1803,0.00019509617413859814
1804,0.00021684607781935483
1805,0.00021958393335808069
1806,0.00021369509340729564
1807,0.000204552969080396
1808,0.00020136224338784814
1809,0.00019896413141395897
1810,0.00019218538363929838
1811,0.0002016460057348013
1812,0.00022179247753228992
1813,0.00020345525990705937
1814,0.00021351252507884055
1815,0.0002273939608130604
1816,0.00019926669483538717
1817,0.00022858452575746924
1818,0.0002352291630813852
1819,0.0002242248592665419
1820,0.000215766005567275
1821,0.00020291274995543063
1822,0.00020749478426296264
1823,0.00020683651382569224
1824,0.000208233977900818
1825,0.00020047181169502437
1826,0.0002003281406359747
1827,0.00019421879551373422
1828,0.00020645972108468413
1829,0.00021004537120461464
1830,0.0002068974426947534
1831,0.000207548524485901
1832,0.00020940590184181929
1833,0.0002184089389629662
1834,0.0002187086793128401
1835,0.00021204283984843642
1836,0.00021929288050159812
1837,0.00020406668772920966
1838,0.00021158048184588552
1839,0.0001999685337068513
1840,0.00019321547006256878
1841,0.00019647782028187066
1842,0.00019696140952873975
1843,0.0002039851387962699
1844,0.0001967769057955593
1845,0.00019205948046874255
1846,0.00019693408103194088
1847,0.00020042269898112863
1848,0.00020074773055966944
1849,0.000200369642698206
1850,0.00019477074965834618
1851,0.0001983365509659052
1852,0.0002005447167903185
1853,0.00019735163368750364
1854,0.00019714607333298773
1855,0.0001992380275623873
1856,0.00019801015150733292
1857,0.00019642809638753533
1858,0.00019849262025672942
1859,0.00018938351422548294
1860,0.00019229411554988474
1861,0.0001887607213575393
1862,0.00018132635159417987
1863,0.00018391878984402865
1864,0.00018520813318900764
1865,0.00019069750851485878
1866,0.0001871896383818239
1867,0.0001850915577961132
1868,0.0001844236976467073
1869,0.00018225966778118163
1870,0.0001822204067138955
1871,0.00018590826948639005
1872,0.00018654951418284327
1873,0.00019017371232621372
1874,0.00019093597074970603
1875,0.0001922656228998676
1876,0.00019193995103705674
1877,0.00019014278950635344
1878,0.0001942997914738953
1879,0.000192015795619227
1880,0.00018446172180119902
1881,0.0001824144128477201
1882,0.0001895130262710154
1883,0.0001851251581683755
1884,0.00019056888413615525
1885,0.000187168043339625
1886,0.00019161780073773116
1887,0.00018655724124982953
1888,0.00018735849880613387
1889,0.00018655441817827523
1890,0.0001904708333313465
1891,0.0001867554383352399
1892,0.00019148277351632714
1893,0.00019308278569951653
