,information
1800,9.828301699599251e-05
1801,9.503915498498827e-05
1802,0.00011562711733859032
1803,9.504825720796362e-05
1804,0.00010014756117016077
1805,0.0001181245970656164
1806,9.817925456445664e-05
1807,9.886282350635156e-05
1808,9.860526188276708e-05
1809,9.576463344274089e-05
1810,8.864180563250557e-05
1811,9.9600525572896e-05
1812,0.0001298021525144577
1813,0.00011298628669464961
1814,0.00012554049317259341
1815,0.00011931641347473487
1816,0.0001249254564754665
1817,0.0001316070556640625
1818,0.00012487203639466316
1819,0.00011536124657141045
1820,0.00011023269325960428
1821,9.789089381229132e-05
1822,9.509454685030505e-05
1823,9.945829515345395e-05
1824,0.00010573677718639374
1825,0.00010449495312059298
1826,0.00011212861863896251
1827,0.00010515291069168597
1828,0.00010908708645729348
1829,0.00010883293725783005
1830,0.00010962272790493444
1831,0.00011039793753298
1832,0.00014197695418260992
1833,0.00010797127470141277
1834,0.00011762470239773393
1835,0.00010814304550876841
1836,0.00011099685070803389
1837,0.00010836647561518475
1838,0.0001137878280133009
1839,0.00010562947136349976
1840,0.00010237150127068162
1841,0.00010238839604426175
1842,9.917403076542541e-05
1843,0.0001039933631545864
1844,9.829440386965871e-05
1845,9.580305049894378e-05
1846,0.00010291404760209844
1847,0.00010327521158615127
1848,9.927671635523438e-05
1849,0.00010506298713153228
1850,0.0001010603373288177
1851,0.00010253435902995989
1852,0.0001061484290403314
1853,0.0001047808036673814
1854,9.791247430257499e-05
1855,0.00010264282173011452
1856,0.00010008726530941203
1857,0.0001002573553705588
1858,0.00010637715604389086
1859,9.813153155846521e-05
1860,0.0001037571782944724
1861,0.00010345170448999852
1862,0.00010320244473405182
1863,0.0001021623975248076
1864,0.00010546408157097176
1865,0.00010514996392885223
1866,0.00010514172754483297
1867,0.00010088006092701107
1868,0.00010251130879623815
1869,0.00010248213948216289
1870,0.00010374101111665368
1871,0.00010023202776210383
1872,0.0001185145229101181
1873,9.972834959626198e-05
1874,0.00010366871720179915
1875,0.0001016873138723895
1876,0.00010819642920978367
1877,0.00010836056753760204
1878,0.0001050014907377772
1879,0.00010948393173748627
1880,0.000105871724372264
1881,0.0001006673410302028
1882,0.00010923798981821164
1883,9.891064837574959e-05
1884,0.00010979129729093984
1885,0.00010784624464577064
1886,0.00011459975939942524
1887,0.00011035853094654158
1888,0.00011094829824287444
1889,0.00011678795999614522
1890,0.00010871473932638764
1891,0.00011424136027926579
1892,0.00011295808508293703
1893,0.00010965580440824851
1894,0.00011136628017993644
1895,0.00011436873319325969
1896,0.00011164197348989546
1897,0.00011714688298525289
1898,0.00011188523785676807
1899,0.00010755808762041852
1900,0.00011219760199310258
1901,0.00010986645793309435
1902,0.00011448674922576174
1903,0.0001143103072536178
1904,0.00011503713903948665
1905,0.00011908555461559445
1906,0.00012462851009331644
1907,0.00012314216291997582
1908,0.0001299345603911206
1909,0.00013294271775521338
1910,0.00012859891285188496
1911,0.00013982458040118217
1912,0.00013908544497098774
1913,0.0001465642126277089
1914,0.00014845455007161945
1915,0.00014711169933434576
1916,0.00015482105663977563
1917,0.00015445495955646038
1918,0.00016049786063376814
1919,0.00016290800704155117
1920,0.00016248243628069758
1921,0.00016729517665226012
1922,0.00016447075176984072
1923,0.00016433665587101132
1924,0.0001736881968099624
1925,0.00016865029465407133
1926,0.00016532484733033925
1927,0.00017106934683397412
1928,0.00017442333046346903
1929,0.00017399752687197179
1930,0.00018140180327463895
1931,0.00017586104513611645
1932,0.0001810498215490952
1933,0.00018380630353931338
1934,0.00019634752243291587
1935,0.00018215560703538358
1936,0.00019314962264616042
1937,0.00019164319382980466
1938,0.00019379347213543952
1939,0.0002050610928563401
1940,0.0002055654040304944
1941,0.0002382942329859361
1942,0.00021610574913211167
1943,0.00021308141003828496
1944,0.00021570170065388083
1945,0.00022015902504790574
1946,0.0002484804717823863
1947,0.00023727044754195958
1948,0.00023178714036475867
1949,0.0002325108362128958
1950,0.00023413129383698106
1951,0.00023476664500776678
1952,0.0002275214355904609
1953,0.0002419113297946751
1954,0.00025243128766305745
1955,0.0002550686476752162
1956,0.000268312607659027
1957,0.00026516607613302767
1958,0.00026195612736046314
1959,0.00026929102023132145
1960,0.0002645966596901417
1961,0.00026905513368546963
1962,0.00027248141122981906
1963,0.00027748398133553565
1964,0.0002795157197397202
1965,0.0002792811137624085
1966,0.00028681152616627514
1967,0.0003042660828214139
1968,0.0002927684981841594
1969,0.0003084726049564779
1970,0.0003126818046439439
1971,0.00032807167735882103
1972,0.0003443061432335526
1973,0.0003548325039446354
1974,0.0003867529158014804
1975,0.0003837691619992256
1976,0.00040354407974518836
1977,0.0004085176042281091
1978,0.0004182667180430144
1979,0.00042187084909528494
1980,0.0004280328575987369
1981,0.00043810129864141345
1982,0.00043132045539096
1983,0.0004303128516767174
1984,0.000439431139966473
1985,0.00044353585690259933
1986,0.0004401602200232446
1987,0.0004443734942469746
1988,0.0004505575925577432
1989,0.0004560232628136873
1990,0.0004620832914952189
1991,0.00046279074740596116
1992,0.0004734572721645236
1993,0.0004880093038082123
1994,0.0004934719181619585
1995,0.0005045123980380595
1996,0.0005023526609875262
1997,0.0005089976475574076
1998,0.0005077405367046595
1999,0.0005072105559520423
2000,0.0004887017421424389
2001,0.0004893237492069602
2002,0.0004799635207746178
2003,0.00048153658281080425
2004,0.00046294814092107117
2005,0.0004591148463077843
2006,0.00044356740545481443
2007,0.00043177494080737233
2008,0.0004058178747072816
2009,0.00039630045648664236
2010,0.00038334378041327
2011,0.0003689948352985084
2012,0.00041868476546369493
2013,0.00041490583680570126
2014,0.0003184535016771406
2015,0.0003106989024672657
2016,0.00031955912709236145
2017,0.0002814105828292668
2018,0.00026934786001220345
2019,0.00028477245359681547
