,free
1800,0.00015579798491671681
1801,0.00014756324526388198
1802,0.0001574160560267046
1803,0.0001470677525503561
1804,0.00014047182048670948
1805,0.00015030034410301596
1806,0.0001476558536523953
1807,0.00014998344704508781
1808,0.00015577326121274382
1809,0.00014073580678086728
1810,0.00015220028581097722
1811,0.00015807838644832373
1812,0.0001424694200977683
1813,0.00015338168304879218
1814,0.00015227386029437184
1815,0.00014517782256007195
1816,0.00014467818255070597
1817,0.0001498338533565402
1818,0.00015815520600881428
1819,0.00016313300875481218
1820,0.00015013423399068415
1821,0.00014588763588108122
1822,0.00015617211465723813
1823,0.00015883095329627395
1824,0.00016483997751493007
1825,0.00015653892478439957
1826,0.0001692322111921385
1827,0.00016141477681230754
1828,0.00016067609249148518
1829,0.00017086202569771558
1830,0.00016667581803631037
1831,0.00016610893362667412
1832,0.00015534339763689786
1833,0.00017926098371390253
1834,0.0001629206963116303
1835,0.00016730600327719003
1836,0.00016749381029512733
1837,0.00015931352390907705
1838,0.0001612660416867584
1839,0.00016097597836051136
1840,0.0001635327935218811
1841,0.00017605922766961157
1842,0.00016908095858525485
1843,0.0001729088689899072
1844,0.00017621229926589876
1845,0.0001695101527730003
1846,0.00018808919412549585
1847,0.00017063814448192716
1848,0.0001866340171545744
1849,0.00018606841331347823
1850,0.00018973674741573632
1851,0.0001781163300620392
1852,0.0001795672287698835
1853,0.0001836712908698246
1854,0.00018008974438998848
1855,0.00017465291603002697
1856,0.00018300506053492427
1857,0.00018326893041376024
1858,0.00017739264876581728
1859,0.00017572702199686319
1860,0.00018715241458266973
1861,0.0001842147612478584
1862,0.0001844863290898502
1863,0.00018582562915980816
1864,0.00018469094356987625
1865,0.00017774273874238133
1866,0.00017917701916303486
1867,0.00017181623843498528
1868,0.00017395753820892423
1869,0.00017440656665712595
1870,0.00017773422587197274
1871,0.00017361444770358503
1872,0.00017696541908662766
1873,0.00017360933998133987
1874,0.00017383125668857247
1875,0.00017490077880211174
1876,0.00017431603919249028
1877,0.0001827828527893871
1878,0.00017894986376632005
1879,0.0001777597499312833
1880,0.00017467695579398423
1881,0.00017381507495883852
1882,0.00018024574092123657
1883,0.00018075537809636444
1884,0.00018290115986019373
1885,0.00018262774392496794
1886,0.0001799195451894775
1887,0.0001792659459169954
1888,0.0001944616815308109
1889,0.0001896317844511941
1890,0.00019079000048805028
1891,0.00019197200890630484
1892,0.00019990449072793126
1893,0.00019499372865539044
1894,0.00020810175919905305
1895,0.00019604542467277497
1896,0.00020214237156324089
1897,0.000199889691430144
1898,0.00019554949540179223
1899,0.00019037490710616112
1900,0.00019480079936329275
1901,0.00019091962894890457
1902,0.00019931506540160626
1903,0.000196073146071285
1904,0.00019972196605522186
1905,0.00019800815789494663
1906,0.0001949629804585129
1907,0.00019298313418403268
1908,0.00019866004004143178
1909,0.0002036668884102255
1910,0.000191975268535316
1911,0.00019748372142203152
1912,0.00019487272948026657
1913,0.00020558119285851717
1914,0.00019735138630494475
1915,0.00019309791969135404
1916,0.00019663074635900557
1917,0.0001964454131666571
1918,0.0002030481700785458
1919,0.00019571722077671438
1920,0.00019059159967582673
1921,0.00019486539531499147
1922,0.00018917817214969546
1923,0.00018861312128137797
1924,0.00018435964011587203
1925,0.00018037250265479088
1926,0.0001814277347875759
1927,0.0001791642134776339
1928,0.00017891431343741715
1929,0.0001863390498328954
1930,0.00018230588466394693
1931,0.00017884249973576516
1932,0.00018380270921625197
1933,0.00018007337348535657
1934,0.00018415147496853024
1935,0.00017753129941411316
1936,0.00018044328317046165
1937,0.0001837264426285401
1938,0.0001858667965279892
1939,0.00018401390116196126
1940,0.0001895682216854766
1941,0.00018483525491319597
1942,0.00019385786436032504
1943,0.00019086853717453778
1944,0.00019327702466398478
1945,0.00019400383462198079
1946,0.0001938303030328825
1947,0.0001989376760320738
1948,0.00020082670380361378
1949,0.00020133002544753253
1950,0.00020815615425817668
1951,0.00020884429977741092
1952,0.0002091614151140675
1953,0.00021271355217322707
1954,0.00020933139603585005
1955,0.00021022357395850122
