,years
1890,0.0007283503073267639
1891,0.000732076121494174
1892,0.0007158573716878891
1893,0.0007311163935810328
1894,0.0007525472901761532
1895,0.0008258443558588624
1896,0.0007686036988161504
1897,0.0007835944416001439
1898,0.0007677736575715244
1899,0.0007477457402274013
1900,0.000777933222707361
1901,0.0007818014128133655
1902,0.0008135894895531237
1903,0.000757681205868721
1904,0.0007718204869888723
1905,0.0007506637484766543
1906,0.0007594527560286224
1907,0.0007550002192147076
1908,0.0007696636603213847
1909,0.0007833605632185936
1910,0.0007613464840687811
1911,0.0008041205583140254
1912,0.0007883910438977182
1913,0.000777442182879895
1914,0.0007647864404134452
1915,0.0007543140673078597
1916,0.0007672185893170536
1917,0.000730709230992943
1918,0.0007294886163435876
1919,0.0007563820690847933
1920,0.0007487771799787879
1921,0.0007640463882125914
1922,0.0007775109843350947
1923,0.0007563556428067386
1924,0.0007908081752248108
1925,0.0007777712889946997
1926,0.0007898645126260817
1927,0.0007876743911765516
1928,0.0008079810650087893
1929,0.0008017175714485347
1930,0.000809907098300755
1931,0.0007846339140087366
1932,0.0007905553793534636
1933,0.0007824510103091598
1934,0.00077981868525967
1935,0.0007820362807251513
1936,0.0007874226430431008
1937,0.000793355458881706
1938,0.000783400668296963
1939,0.0007736163679510355
1940,0.0007517387857660651
1941,0.0007204419234767556
1942,0.0007055554888211191
1943,0.0007094022003002465
1944,0.0007492752629332244
1945,0.0007738317362964153
1946,0.0007521488587372005
1947,0.0007443496724590659
1948,0.0007373204571194947
1949,0.0007148373988457024
1950,0.0007202085689641535
1951,0.0007154042832553387
1952,0.000707742408849299
1953,0.0007270409842021763
1954,0.0007311305380426347
1955,0.0007375490968115628
1956,0.000728456536307931
1957,0.0007160181412473321
1958,0.000720471260137856
1959,0.0007157028885558248
1960,0.0007071970612742007
1961,0.0006904458859935403
1962,0.0006645650137215853
1963,0.0006724754930473864
1964,0.0006675396580249071
1965,0.0006633846205659211
1966,0.0006661584484390914
1967,0.0006646051187999547
1968,0.0006592334248125553
1969,0.0006631682044826448
1970,0.0006475243135355413
1971,0.0006449178326874971
1972,0.000647179433144629
1973,0.00064251315779984
1974,0.0006334771169349551
1975,0.0006321434048004448
1976,0.0006335062207654119
1977,0.00062215281650424
1978,0.0006176142487674952
1979,0.000609997718129307
1980,0.0006236546323634684
1981,0.0006036751437932253
1982,0.0006111582042649388
1983,0.0006197726470418274
1984,0.0006051385425962508
1985,0.0005878529045730829
1986,0.000595211866311729
1987,0.0005920956609770656
1988,0.000601925072260201
1989,0.0005880413809791207
1990,0.0005816436605527997
1991,0.0005737124592997134
1992,0.000581350876018405
1993,0.0006289597367867827
1994,0.0005672885454259813
1995,0.0005614825640805066
1996,0.0005667127552442253
1997,0.0005745161324739456
1998,0.0005658359732478857
1999,0.0005676850560121238
2000,0.0005654589622281492
2001,0.0005640407325699925
2002,0.0005485834553837776
2003,0.0005469383322633803
2004,0.0005495715886354446
2005,0.0005535624804906547
2006,0.0005445909919217229
2007,0.0005450269673019648
2008,0.0005409298464655876
2009,0.000535761471837759
2010,0.0005301003693602979
2011,0.0005186049966141582
2012,0.00048745956155471504
2013,0.00048246857477352023
2014,0.0004927121917717159
2015,0.0004930779105052352
2016,0.0004882389330305159
2017,0.000469073886051774
2018,0.00045239555765874684
2019,0.0004802714101970196
